,fecha,user,texto,ubicacion
0,"Photo by Ciudadanía y Desarrollo on January 21, 2021. La imagen puede contener: 1 persona, texto que dice ""$ $ $ $ $ $ LOS VIAJES MÁS COSTOSOS durante el estado de excepción El ex ministro de Economía Richard Martínez viajó dos veces a Washington, una de ellas para una reunión con el BID. Tuvo un costo de USD 8.317,60 considerando pasajes aéreos y viáticos. FCD OBSERVATORIOD GASTO PÚBLICO www.gastopublico.org EsMiPlataEC @EsMiPlataEC @fcd_ecuador"".",,,
183,2021-01-31T15:14:14.000Z,viuu.ec,"🔴AQUÍ LA RESPUESTA🔴

#debatepresidencial2021 #políticosec #memespoliticos #politicosmemes #memesdetiktok #videosdetiktok",No data
184,2021-01-30T15:12:23.000Z,papa_dememe,"Qué alegre es ese momento 🙃 🤭
.
.
.
.
.
.
#papadememe #meme #ecuador #guayaquil #quito #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa #yaku",No data
185,2021-01-30T13:16:01.000Z,galocabanillaec,"#BuenosDiasATodos Escucha cuál es el modelo económico que debe seguir #Ecuador para impulsar las exportaciones locales
➡️entrevista con @ucsg_tv

#UTEG #GeneraciondelCambio #mejorandovidas #GaloCabanilla #Elecciones2021 #EleccionesEcuador2021 #DebatePresidencial2021 #Economia",No data
186,2021-01-30T00:09:30.000Z,eldato.ec,"10 preguntas te harán salir de dudas.
Llena tu cuestionario en: https://eldato.ec/
Se parte del Dato, por todo lo que nos une.
Merecemos un Ecuador mejor.

#Ecuador #DebatePresidencial2021 #Elecciones2021ec #INSTAGRAFITI
#GRAFITEANDOCONELDATO #DATOGRAFITI",No data
187,2021-01-29T20:24:31.000Z,galocabanillaec,"Se necesita que la flexibilidad laboral se enfoque en una adecuación a los nuevos tipos de trabajo, como el caso del teletrabajo.
Escúchame en➡️D'UNA

#GeneraciondelCambio #mejorandovidas #Elecciones2021Ec #EleccionesEcuador2021 #DebatePresidencial2021 #Economia #empleo #trabajo",No data
188,2021-01-29T12:39:35.000Z,galocabanillaec,"#BuenosDiasATodos ¿Cuáles son las razones por las cuales la dolarización debe cuidarse en beneficio de los ecuatorianos?
Escúchame en esta entrevista
➡️@ucsg_tv

#UTEG #GeneraciondelCambio #GaloCabanilla #mejorandovidas #Elecciones2021Ec #DebatePresidencial2021 #Ecuador h",No data
189,2021-01-29T02:33:39.000Z,papa_dememe,"Así son 😒
.
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa",No data
190,2021-01-29T02:29:33.000Z,papa_dememe,"No pido más ✌🏻
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa",No data
191,2021-01-29T02:28:53.000Z,papa_dememe,"Pilas con esa luquita 💵💵💵💵
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa",No data
192,2021-01-28T23:12:05.000Z,yurak_ccv,"#Perfiles2021 🧐

El outsider @xhervas.ec que continúa subiendo en las encuestas tras el #DebatePresidencial;  el riobambeño @isidroromerocarbo y el único candidato con estudios en política, @cesarmontufar1751 . 🤓

Dale me gusta ❤
Comenta 💬
Guarda la publicación 📩
.
.
.
.
.
#DebatePresidencial2021 #Perfiles2021 #Candidatos #HistoriaYurak #yurakcvv #yurak_ccv #EspecialElectoral #memesecuador #césarmontufar #xavierhervas #isidroromero #izquierdademocratica #Concertación #partidosocialista #avanza8  #elecciones2021ec #yurakdatos #yuraktexplica #datosyurak
#debatepresidencial2021 #lonuevodelonuevo
#propuestasecu #unachumamaldita #tiktok #aborto #seguridadsocial",No data
193,2021-01-28T23:03:26.000Z,yurak_ccv,"#Perfiles2021 🧐

El partido Izquierda Democrática apuesta por la Agroindustria, mientras que el #Movimiento_Avanza propone mejorar la seguridad y #Concertación pone sus fichas en una Consulta Popular para reformar el Legislativo 🇪🇨

Dale me gusta ❤
Comenta 💬
Guarda la publicación 📩
.
.
.
.
.
#YurakCCVDebatePresidencial2021 #Perfiles2021 #Candidatos #HistoriaYurak #yurakcvv #yurak_ccv #EspecialElectoral #memesecuador #recopilacionmemes #elecciones2021ec #yurakdatos #yuraktexplica #datosyurak #PresidencialesEc #presidenciales2021
#debatepresidencial2021 #lonuevodelonuevo
#propuestasecu #izquierdademocratica #césarmontufar #académico #xavierhervas #isidroayora  #unachumamaldita #tiktok #aborto #seguridadsocial",No data
194,2021-01-28T20:05:15.000Z,eldato.ec,"El dato viene aclarar tus dudas.
https://eldato.ec/
¡Se parte de nuestro proyecto!
No olvides que contamos con protección de datos.
No confundas las cosas.
Estas seguro con nosotros.

#Ecuador #DebatePresidencial2021 #Elecciones2021ec #INSTAGRAFITI
#GRAFITEANDOCONELDATO #DATOGRAFITI",No data
195,2021-01-27T22:34:56.000Z,papa_dememe,"Así es, baby 🍑
.
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa",No data
196,2021-01-27T22:34:11.000Z,papa_dememe,"Minería inversa aplicada 🙃
.
.
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa #minería #mineríaecuador",No data
197,2021-01-27T13:31:58.000Z,enclavepolitica,"Política neoliberal en Ecuador

En Clave Política @EnClavePolitik
11h
En #Ecuador el #DebatePresidencial2021 reflejó el serio problema del sistema político ecuatoriano. Aquí los partidos convierten a las #Elecciones2021Ec en un negocio electoral, 13 de los 16 candidatos no tienen ni una esperanza de pasar a 2da vuelta @jfteranj y @OrlandoPerezEC",No data
198,2021-01-27T02:05:47.000Z,radiosensacion800a.m,"Mañana en @sensacionmatinal estaremos con #DiegoGortaire Analista Político, para hablar sobre el debate presidencial organizado por el #CNE

Escúchanos por 👉 www.sensacion800am.com de 8am 🕗 a 10am 🕙
✔️
✔️
✔️
Síguenos en 👇
Facebook: Radio Sensación 800AM https://www.facebook.com/sensacion800am
Twitter: @s800am https://twitter.com/S800am
Youtube https://www.youtube.com/channel/UClroL-ECiR50YAXESJzMygg/videos?view=0&sort=dd&shelf_id=0

#entrevista #invitado #Política #DebatePresidencial2021 #Elecciones2021 #sensacionmatinal #RadioSensacion800am",No data
199,2021-01-27T01:58:18.000Z,eldato.ec,"Te dejo El Dato https://eldato.ec/
Haz el cuestionario y quítate de dudas.
Se responsable con tu voto.

Síguenos en:

Facebook: El Dato
Twitter: Eldato.ec
#Ecuador #DebatePresidencial2021 #Elecciones2021ec",No data
200,2021-01-27T00:54:14.000Z,papa_dememe,"No lo soporto 🤭
.
.
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa #elmesias",No data
201,2021-01-27T00:53:22.000Z,papa_dememe,"Sigue nomás ✌🏻
.
.
.
.
.
.
.
.
.
.
.
.
#papadememe #meme #ecuador #guayaquil #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa #elmesias",No data
202,2021-01-27T00:45:45.000Z,papa_dememe,"Avisados están 🤚🏻
.
.
.
.
.
.
.
.
.
.
.
.
.
#papadememe #debate #debatepresidencial #debateecuador #debatepresidencial2021 #eleccionesecuador #arauz #correa #andresarauz #lasso #hervas #lucio #alvarito #alvaritonoboa #alvaronoboa",No data
